"last_name, first_name",player_id,year,p_formatted_ip,pa,hit,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_out,p_win,p_loss,p_era,p_lob,p_rbi,p_ab_scoring,p_called_strike,p_swinging_strike,p_total_ball,p_total_strike,p_total_swinging_strike,p_inh_runner,xba,xslg,woba,xwoba,xobp,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z
"Parker, Mitchell",680730,2025,164.2,725,178,25,103,14.2,8,0.273,0.466,0.331,0.797,104,116,494,9,16,5.68,113,104,153,397,232,922,1783,254,4,0.301,0.492,0.342,0.367,0.358,37.5,9.6,9.1,50,82.50265848,95.8351606,19.6,51.2,55.5,93,2168,5.8,-13.8,1.3,11.9,85,2267,-4.7,-35.2,,,,,,22,81.1,2280,-0.7,-48.3,,,,,,,,,,,10.6,85.4,975,6.8,-28.5,,,,,,,,,
"Hendricks, Kyle",543294,2025,164.2,695,167,25,114,16.4,6.2,0.262,0.447,0.311,0.758,87,92,494,8,10,4.76,113,78,125,480,204,858,1715,207,0,0.249,0.404,0.324,0.309,0.303,32.6,8.3,4.9,34.3,73.6732503,93.31089279,18.3,48,15.2,86.5,2049,-5.8,-22.4,1.1,,,,,,38.4,79.5,2077,-10.9,-34.8,8.2,72.2,2823,15.7,-63.3,38.2,86.2,1982,-13.9,-29.6,,,,,,,,,,,,,,,,,,,
"Lugo, Seth",607625,2024,206.2,836,177,16,181,21.7,5.7,0.229,0.353,0.281,0.634,69,75,620,16,9,3,151,61,151,581,275,1079,2033,295,0,0.243,0.389,0.278,0.3,0.295,32.8,8,6.2,39,77.29927895,93.99401736,22.5,46.7,24,92.2,2368,-6.7,-16.6,1.6,9.3,86.7,2652,4.3,-31.7,6.7,87.3,1854,-15.3,-31.5,16.1,79.8,3284,14.6,-58,18.5,92.1,2410,-15.3,-23.7,8.5,90,2438,0.4,-21.8,2.8,85.9,1431,-10.6,-32.4,,,,,,82.1,2843,13.5,-37.9
"Arrighetti, Spencer",681293,2024,145,632,139,21,171,27.1,10.3,0.25,0.424,0.334,0.758,73,80,435,7,13,4.53,111,68,111,430,290,893,1612,307,0,0.23,0.385,0.332,0.312,0.317,38.3,7.7,8.2,39.8,77.93434862,94.12462185,27.7,47.2,40.6,94.1,2306,-11.8,-15.7,1.3,0.1,82.9,2562,6.2,-30.5,8.6,85.5,1675,-15,-32.6,19.9,78.4,2811,14.6,-53.6,0.4,94.1,2298,-15.7,-18.9,19.6,88.1,2498,3.2,-27,,,,,,,,,,,80.8,2800,14.7,-40.5
"Woo, Bryan",693433,2025,186.2,731,137,26,198,27.1,4.9,0.2,0.353,0.243,0.596,61,64,560,15,7,2.94,108,59,118,392,334,877,1837,337,0,0.217,0.365,0.259,0.273,0.26,32.5,9.1,6.3,41.8,77.56713498,94.55663257,26.2,53.2,47.3,95.7,2296,-9.7,-15.1,1.1,10.1,88.5,2226,2.9,-29.8,7.1,89.6,1827,-16.2,-29.6,,,,,,25.6,95.4,2303,-16.6,-24.1,,,,,,,,,,,,,,,,85.1,2485,10.6,-34
"Rodriguez, Eduardo",593958,2025,154.1,694,178,25,143,20.6,8.6,0.286,0.475,0.347,0.822,86,94,463,9,9,5.02,127,85,153,404,243,965,1624,247,0,0.262,0.423,0.353,0.327,0.327,35.8,8.2,7,35.2,76.81473429,93.89672766,23,47.1,45.5,92,2304,5.5,-17.2,1.2,5,84.1,2177,-3.9,-36.7,20.4,85.9,1933,15.9,-31,3.6,78.6,2357,-5.9,-51.5,9.7,91.5,2286,12,-20.4,15.7,89.3,2266,-1,-24.6,,,,,,,,,,,,,,
"Alcantara, Sandy",645261,2025,174.2,745,165,22,142,19.1,7.7,0.247,0.404,0.31,0.714,104,107,524,11,12,5.36,116,104,170,475,265,984,1907,270,0,0.265,0.427,0.311,0.331,0.329,33,8.6,5.6,45,80.16251258,95.03804734,20.9,49.5,17.5,97.7,2287,-14.1,-15.9,1.4,15.8,89.4,2353,0.9,-29.4,23.2,90.4,2088,-17.5,-28.8,18,85.3,2442,2.7,-39,25.5,97.2,2322,-17.4,-20.7,,,,,,,,,,,,,,,,,,,
"Glasnow, Tyler",607192,2024,134,522,92,15,168,32.2,6.7,0.19,0.347,0.244,0.591,52,53,402,9,6,3.49,77,48,96,335,242,702,1309,277,0,0.195,0.324,0.258,0.254,0.249,32.5,8.5,5,40.1,78.13629815,94.13942642,30.9,48.4,45.2,96.3,2556,-0.3,-13.1,1.2,27.7,90,2714,2.5,-33.1,,,,,,18.6,83.7,2748,3.3,-51.1,8.5,96.5,2509,-10.7,-14.9,,,,,,,,,,,,,,,,,,,
"Peralta, Freddy",642547,2024,173.2,725,143,26,200,27.6,9.4,0.224,0.387,0.307,0.694,71,74,521,11,9,3.68,130,66,121,427,391,1200,1866,403,0,0.224,0.377,0.305,0.305,0.308,35.3,8.7,7.6,36.9,75.95026724,93.64080975,31.1,46.9,53.8,94.3,2436,-6.8,-14.2,1.9,21.6,81.5,2345,7.6,-39.1,17.5,87.7,1731,-15.5,-31.3,7.1,78.1,2204,4.6,-49.7,0.1,95.3,2554,-5,-13.6,,,,,,,,,,,,,,,,,,,
"Giolito, Lucas",608337,2025,145,613,131,17,121,19.7,9.1,0.239,0.377,0.309,0.686,55,62,435,10,4,3.41,116,53,114,388,230,861,1507,235,0,0.268,0.458,0.301,0.345,0.336,38.3,9,7.4,41.1,79.59926968,94.77728954,22.9,47.3,48.4,93.3,2231,-6.8,-13.5,1.3,25.6,86,1966,2.4,-32.2,22.6,81.7,1673,-13.2,-28.4,3.5,78.6,2471,5.9,-60.2,,,,,,,,,,,,,,,,,,,,,,,,
